§"{""filters"": {""manufacturer"": [""airbus"", ""boeing""], ""aircraft"": [], ""company"": [], ""category"": [], ""date"": [""01012017"", ""31122017""]}, ""tab"": ""general""}"§"{""filters"": {""manufacturer"": [""airbus"", ""boeing""], ""aircraft"": [], ""company"": [], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"§"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a318"", ""a320"", ""a340-300"", ""a350-900""], ""company"": [], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"§"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a320""], ""company"": [""air france""], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"§"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a320""], ""company"": [""air france""], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""seat""}"§"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a320""], ""company"": [], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""seat""}"§"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a350-900""], ""company"": [""air france""], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"§"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a350-900""], ""company"": [], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"§"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [], ""company"": [], ""category"": [], ""date"": [""01012017"", ""31122017""]}, ""tab"": ""seat""}"§"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [], ""company"": [], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"
"{""filters"": {""manufacturer"": [""airbus"", ""boeing""], ""aircraft"": [], ""company"": [], ""category"": [], ""date"": [""01012017"", ""31122017""]}, ""tab"": ""general""}"§0.0§1.0§0.0§0.0§0.0§0.0§0.0§0.0§0.0§0.0
"{""filters"": {""manufacturer"": [""airbus"", ""boeing""], ""aircraft"": [], ""company"": [], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"§0.0§0.0§0.0§0.0§0.0§0.0§0.0§0.0§0.0§1.0
"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a318"", ""a320"", ""a340-300"", ""a350-900""], ""company"": [], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"§0.0§0.0§0.0§0.0§0.0§0.0§0.0§1.0§0.0§0.0
"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a320""], ""company"": [""air france""], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"§0.0§0.0§0.0§0.0§1.0§0.0§0.0§0.0§0.0§0.0
"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a320""], ""company"": [""air france""], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""seat""}"§0.0§0.0§0.0§0.0§0.0§1.0§0.0§0.0§0.0§0.0
"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a320""], ""company"": [], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""seat""}"§0.0§0.0§0.0§0.0§0.0§0.0§0.0§0.0§1.0§0.0
"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a350-900""], ""company"": [""air france""], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"§0.0§0.0§0.0§1.0§0.0§0.0§0.0§0.0§0.0§0.0
"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [""a350-900""], ""company"": [], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"§0.0§0.0§0.0§0.0§0.0§0.0§1.0§0.0§0.0§0.0
"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [], ""company"": [], ""category"": [], ""date"": [""01012017"", ""31122017""]}, ""tab"": ""seat""}"§§§§§§§§§§
"{""filters"": {""manufacturer"": [""airbus""], ""aircraft"": [], ""company"": [], ""category"": [], ""date"": [""01092017"", ""30092017""]}, ""tab"": ""general""}"§0.0§0.0§1.0§0.0§0.0§0.0§0.0§0.0§0.0§0.0
